# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,14.539379847990462,4.8874039628421135,-0.0781190496711169,0,3.0,-0.26570327207483285,0.0,0.0,0.0
 0.08803634510990478,14.551005434275204,4.887388112105412,-0.0781190496711169,0.26410903532971436,3.0,-0.26570327207483285,0.0,-4.9720855832850885,0.0
 0.12249151172506265,14.561885989744964,4.887340744084482,-0.24943308686802898,0.36747453517518797,3.0000000000000004,-0.32326340184730123,0.0,-7.775244441280081,0.0
 0.14753029046484817,14.572027209323041,4.887262135063087,-0.4441157120809882,0.4425908713945445,2.999999999999999,-0.3985300425200196,0.0,-11.208651613898278,0.0
 0.16744351608638347,14.581434787932738,4.887152561324987,-0.6673161205817304,0.5023305482591505,3.0000000000000027,-0.4988281233677629,0.0,-15.65204559681878,0.0
 0.18395883528805695,14.590114420497354,4.887012299153946,-0.9258146497723405,0.5489074807962656,2.820225995534833,-0.6354269538336939,0.0,-20.026657202136075,0.0
 0.19908410216571787,14.598071801940193,4.8868416248337265,-1.2287231846220787,0.5035316801632829,-3.0,-0.8262506164646731,0.0,-23.89268054838844,0.0
 0.21414547130742828,14.605312627184555,4.886640814648091,-1.588579666146321,0.4583475727381516,-3.0000000000000036,-1.1009382062319277,0.0,-28.986648204250095,0.0
 0.22913657663801673,14.61184259115374,4.886410144880801,-2.023121562556947,0.4133742567463862,-3.0,-1.510811918107251,0.0,-35.888595104385985,0.0
 0.24404836910718175,14.617667388771048,4.886149891815618,-2.5582848447634423,0.3686388793388911,-3.0000000000000036,-2.149810325852507,0.0,-45.56651093396649,0.0
 0.2588675040443832,14.622792714959783,4.885860331736307,-3.2335411189113565,0.3241814745272867,-3.0000000000000075,-3.2019989623936174,0.0,-59.735503112090214,0.0
 0.27357341050024225,14.627224264643242,4.885541740926628,-4.112005839771433,0.28006375515970944,-3.0000000000000036,-5.060310410304747,0.0,-81.6748629458708,0.0
 0.2881326078116455,14.63096773274473,4.885194395670344,-5.301126284782185,0.23638616322549963,-3.0000000000000018,-8.662127525356816,0.0,-118.31523601098326,0.0
 0.30248678857800965,14.634028814187545,4.884818572251217,-6.999444569898873,0.1933236209264073,-2.9999999999999942,-16.605046690422533,0.0,-186.46713898150588,0.0
 0.3165254425042751,14.636413203894989,4.8844145469530105,-9.61719220268108,0.15120765914761083,-3.0000000000000058,-37.790049368101755,0.0,-335.9401261628057,0.0
 0.3300170773224478,14.638126596790364,4.883982596059486,-14.14957370564051,0.11073275469309282,-3.0,-114.09130278150067,0.0,-766.750907976221,0.0
 0.34244411333151137,14.63917468779697,4.883522995854405,-23.678014849043205,0.07345164666590204,-3.000000000000002,-541.1234013286738,0.0,-2541.9409853984844,0.0
 0.3533573438490999,14.639563171838105,4.883036022621532,-51.41880278480299,0.040711955113136446,-3.0000000000000018,-1809.9948395040406,0.0,-6125.563353598615,0.0
 0.36411385771419136,14.639297743837075,4.882521952644628,-117.30850992928268,0.06686004978094556,2.430907912708461,-671.100965294084,0.0,-2581.8289866255213,0.0
 0.37653349350161835,14.63838409871718,4.881981062207454,-149.37388560859338,0.10411895714322648,2.9999999999999942,-135.80734923320304,0.0,-793.8240913164607,0.0
 0.3898770524961598,14.636827931401717,4.8814136275937745,-159.9663242023628,0.1441496341268508,3.000000000000003,-43.39587046592421,0.0,-354.4200023425866,0.0
 0.40366095925208384,14.634634936813992,4.880819925087352,-164.8516164670874,0.18550135439462292,2.999999999999996,-18.739748950789625,0.0,-197.99563050775393,0.0
 0.417662269107272,14.631810809877303,4.880200230971948,-167.62381463979983,0.22750528396018732,2.9999999999999942,-9.699981998490175,0.0,-126.03945493104715,0.0
 0.43177480760537695,14.628361245514952,4.879554821531323,-169.4025512997944,0.2698428994545022,3.0,-5.652283782110593,0.0,-87.24673114537693,0.0
 0.44594280839659,14.62429193865024,4.878883973049241,-170.63866305569283,0.3123469018281414,3.000000000000004,-3.578719320399074,0.0,-64.00008966587644,0.0
 0.4601343686136961,14.619608584206466,4.8781879618094655,-171.54692418208634,0.3549215824794596,2.999999999999992,-2.4090109637080963,0.0,-48.982677065367106,0.0
 0.4743299396196951,14.614316877106932,4.877467064095758,-172.24226125243166,0.3975082954974566,3.0,-1.6997096448101805,0.0,-38.722502180719495,0.0
 0.488516863138262,14.608422512274942,4.87672155619188,-172.79161442931706,0.4400690660531572,3.0,-1.244732547743726,0.0,-31.402119568339966,0.0
 0.5026865649289018,14.601931184633791,4.8759517143815945,-173.23657309919446,0.48257817142507675,2.999999999999996,-0.9394791315793463,0.0,-25.99582248553031,0.0
 0.5168330155325181,14.594848589106787,4.875157814948664,-173.6043217178864,0.5250175232359258,3.000000000000008,-0.7270148480325599,0.0,-21.88923906503888,0.0
 0.5309518384659674,14.587180420617226,4.874340134176849,-173.91337200839362,0.5673739920362735,3.0,-0.5745397911725304,0.0,-18.696184465806294,0.0
 0.5450397691920832,14.578932374088408,4.873498948349916,-174.17676255999058,0.609637784214621,3.000000000000008,-0.46224776305055437,0.0,-16.164022826354845,0.0
 0.559094313809732,14.570110144443642,4.872634533751623,-174.40394054000427,0.6518014180675672,2.999999999999992,-0.3776952739206869,0.0,-14.12184073479904,0.0
 0.5731135263932062,14.560719426606218,4.871747166665735,-174.60191762733538,0.6938590558179901,3.000000000000008,-0.3127953720920427,0.0,-12.450652704807457,0.0
